iso2,net_benefit,benefit,cost,country_specific_scc
ER,0.00430,0.00430,0.00000,0.03762
GM,0.00425,0.00425,0.00000,0.03726
CF,0.00424,0.00424,0.00000,0.03717
LR,0.00369,0.00369,0.00000,0.03235
DJ,0.00321,0.00321,0.00000,0.02808
BZ,0.00300,0.00300,0.00000,0.02631
GY,0.00252,0.00252,0.00000,0.02210
LS,0.00223,0.00223,0.00000,0.01949
GW,0.00157,0.00157,0.00000,0.01375
CV,0.00122,0.00122,0.00000,0.01068
VC,0.00071,0.00071,0.00000,0.00624
ST,0.00055,0.00055,0.00000,0.00478
KM,0.00050,0.00050,0.00000,0.00439
WS,0.00036,0.00036,0.00000,0.00312
SO,0.00024,0.00024,0.00000,0.00208
ME,-0.00028,0.00656,0.00684,0.05749
BG,-0.00979,0.08163,0.09141,0.71482
LA,-0.01423,0.02412,0.03835,0.21124
BA,-0.01445,0.02063,0.03508,0.18070
RS,-0.01716,0.06595,0.08311,0.57752
ZW,-0.02880,0.00314,0.03195,0.02753
BW,-0.03505,0.08828,0.12333,0.77310
MN,-0.18620,0.01259,0.19879,0.11024
MZ,-0.18938,0.03120,0.22059,0.27327
ZA,-0.22881,0.81685,1.04567,7.15342
ID,-0.26862,0.98022,1.24884,8.58407
AU,-0.69281,1.62757,2.32038,14.25310
